"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\start.js", "JavaScript", 0, 53, 0, 0, 0, 0, 4, 57
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\stats.js", "JavaScript", 0, 42, 0, 0, 0, 0, 12, 54
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\top.js", "JavaScript", 0, 33, 0, 0, 0, 0, 8, 41
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\train.js", "JavaScript", 0, 95, 0, 0, 0, 0, 9, 104
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapon-sell.js", "JavaScript", 0, 92, 0, 0, 0, 0, 14, 106
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapon-set.js", "JavaScript", 0, 104, 0, 0, 0, 0, 15, 119
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\weapons.js", "JavaScript", 0, 34, 0, 0, 0, 0, 8, 42
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\bot-infos.js", "JavaScript", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\status.js", "JavaScript", 0, 86, 0, 0, 0, 3, 15, 104
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\testing\testing.js", "JavaScript", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\utilitaire\help.js", "JavaScript", 0, 305, 0, 0, 0, 0, 21, 326
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\utilitaire\prefix.js", "JavaScript", 0, 61, 0, 0, 0, 0, 4, 65
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\config.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\badgesObjectives.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 48
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\beast_style.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\flame_style.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\flower_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\insect_style.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\love_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\mist_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\moon_style.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\serpent_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\sound_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\stone_style.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\sun_style.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\thunder_style.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\water_style.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 36
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\breaths\wind_style.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
